shape_id, shape_pt_lat, shape_pt_lon, shape_pt_sequence, shape_dist_traveled
BNSF_IB_1, 41.7608333, -88.3083333, 1,   0.00
BNSF_IB_1, 41.7641667, -88.2863889, 2,   1.20
BNSF_IB_1, 41.7777778, -88.2086111, 3,   5.90
BNSF_IB_1, 41.7797222, -88.1455556, 4,   9.10
BNSF_IB_1, 41.7977778, -88.0719444, 5,  13.10
BNSF_IB_1, 41.7952778, -88.0380556, 6,  14.90
BNSF_IB_1, 41.7952778, -88.0097222, 7,  16.40
BNSF_IB_1, 41.7952778, -87.9936111, 8,  17.20
BNSF_IB_1, 41.7955556, -87.9763889, 9,  18.10
BNSF_IB_1, 41.7969444, -87.9536111, 10,  19.30
BNSF_IB_1, 41.7988889, -87.9452778, 11,  19.70
BNSF_IB_1, 41.8027778, -87.9283333, 12,  20.70
BNSF_IB_1, 41.8050000, -87.9183333, 13,  21.20
BNSF_IB_1, 41.8088889, -87.9011111, 14,  22.10
BNSF_IB_1, 41.8141667, -87.8783333, 15,  23.40
BNSF_IB_1, 41.8158333, -87.8711111, 16,  23.80
BNSF_IB_1, 41.8188889, -87.8575000, 17,  24.50
BNSF_IB_1, 41.8219444, -87.8430556, 18,  25.20
BNSF_IB_1, 41.8244444, -87.8338889, 19,  25.80
BNSF_IB_1, 41.8272222, -87.8200000, 20,  26.50
BNSF_IB_1, 41.8313889, -87.8019444, 21,  27.50
BNSF_IB_1, 41.8330556, -87.7936111, 22,  27.90
BNSF_IB_1, 41.8355556, -87.7833333, 23,  28.50
BNSF_IB_1, 41.8411111, -87.7608333, 24,  29.00
BNSF_IB_1, 41.8441667, -87.7455556, 25,  30.50
BNSF_IB_1, 41.8577778, -87.6852778, 26,  33.80
BNSF_IB_1, 41.8602778, -87.6472222, 27,  35.70
BNSF_IB_1, 41.8788889, -87.6388889, 28,  37.50
BNSF_OB_1, 41.8788889, -87.6388889, 1,   0.00
BNSF_OB_1, 41.8602778, -87.6472222, 2,   1.80
BNSF_OB_1, 41.8577778, -87.6852778, 3,   3.70
BNSF_OB_1, 41.8441667, -87.7455556, 4,   7.00
BNSF_OB_1, 41.8411111, -87.7608333, 5,   8.50
BNSF_OB_1, 41.8355556, -87.7833333, 6,   9.00
BNSF_OB_1, 41.8330556, -87.7936111, 7,   9.60
BNSF_OB_1, 41.8313889, -87.8019444, 8,  10.00
BNSF_OB_1, 41.8272222, -87.8200000, 9,  11.00
BNSF_OB_1, 41.8244444, -87.8338889, 10,  11.70
