stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url
GENEVA, Geneva, , 41.8816667, -88.3100000, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.GENEVA.html
WCHICAGO, West Chicago, , 41.8811111, -88.1988889, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.WCHICAGO.html
WINFIELD, Winfield, , 41.8700000, -88.1569444, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.WINFIELD.html
WHEATON, Wheaton, , 41.8644444, -88.1119444, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.WHEATON.html
COLLEGEAVE, College Ave, , 41.8683333, -88.0902778, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.COLLEGEAVE.html
GLENELLYN, Glen Ellyn, , 41.8766667, -88.0647222, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.GLENELLYN.html
LOMBARD, Lombard, , 41.8866667, -88.0186111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.LOMBARD.html
VILLAPARK, Villa Park, , 41.8963889, -87.9775000, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.VILLAPARK.html
ELMHURST, Elmhurst, , 41.8997222, -87.9408333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.ELMHURST.html
BERKELEY, Berkeley, , 41.8961111, -87.9152778, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.BERKELEY.html
BELLWOOD, Bellwood, , 41.8913889, -87.8825000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.BELLWOOD.html
MELROSEPK, Melrose Park, , 41.8902778, -87.8555556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.MELROSEPK.html
MAYWOOD, Maywood, , 41.8883333, -87.8386111, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.MAYWOOD.html
RIVRFOREST, River Forest, , 41.8869444, -87.8250000, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.RIVRFOREST.html
OAKPARK, Oak Park, , 41.8869444, -87.8011111, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.OAKPARK.html
KEDZIE, Kedzie, , 41.8883333, -87.7069444, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-w/station.KEDZIE.html
AURORA, Aurora, , 41.7608333, -88.3083333, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.AURORA.html
ROUTE59, Route 59, , 41.7777778, -88.2086111, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.ROUTE59.html
NAPERVILLE, Naperville, , 41.7797222, -88.1455556, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.NAPERVILLE.html
LISLE, Lisle, , 41.7977778, -88.0719444, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.LISLE.html
BELMONT, Belmont, , 41.7952778, -88.0380556, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.BELMONT.html
MAINST-DG, Downers Grove, , 41.7952778, -88.0097222, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.MAINST-DG.html
FAIRVIEWDG, Fairview Ave., , 41.7952778, -87.9936111, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.FAIRVIEWDG.html
WESTMONT, Westmont, , 41.7955556, -87.9763889, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.WESTMONT.html
CLARNDNHIL, Clarendon Hills, , 41.7969444, -87.9536111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.CLARNDNHIL.html
WHINSDALE, West Hinsdale, , 41.7988889, -87.9452778, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.WHINSDALE.html
HINSDALE, Hinsdale, , 41.8027778, -87.9283333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.HINSDALE.html
HIGHLANDS, Highlands, , 41.8050000, -87.9183333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.HIGHLANDS.html
WESTSPRING, Western Springs, , 41.8088889, -87.9011111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.WESTSPRING.html
STONEAVE, Stone Ave., , 41.8141667, -87.8783333, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.STONEAVE.html
LAGRANGE, LaGrange Road, , 41.8158333, -87.8711111, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.LAGRANGE.html
CONGRESSPK, Congress Park, , 41.8188889, -87.8575000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.CONGRESSPK.html
BROOKFIELD, Brookfield, , 41.8219444, -87.8430556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.BROOKFIELD.html
HOLLYWOOD, Hollywood, , 41.8244444, -87.8338889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.HOLLYWOOD.html
RIVERSIDE, Riverside, , 41.8272222, -87.8200000, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.RIVERSIDE.html
HARLEM, Harlem Ave., , 41.8313889, -87.8019444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.HARLEM.html
BERWYN, Berwyn, , 41.8330556, -87.7936111, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.BERWYN.html
LAVERGNE, Lavergne, , 41.8355556, -87.7833333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.LAVERGNE.html
CICERO, Cicero, , 41.8441667, -87.7455556, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.CICERO.html
BNWESTERN, Western Avenue, , 41.8577778, -87.6852778, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.BNWESTERN.html
HALSTED, Halsted Street, , 41.8602778, -87.6472222, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/bnsf/station.HALSTED.html
JOLIET, Joliet, , 41.5244444, -88.0797222, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.JOLIET.html
LOCKPORT, Lockport, , 41.5850000, -88.0602778, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/hc/station.LOCKPORT.html
LEMONT, Lemont, , 41.6736111, -88.0025000, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/hc/station.LEMONT.html
WILLOWSPRN, Willow Springs, , 41.7333333, -87.8783333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/hc/station.WILLOWSPRN.html
SUMMIT, Summit, , 41.7950000, -87.8097222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/hc/station.SUMMIT.html
179TH-SWS, Orland Park 179th, , 41.5638889, -87.9025000, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.179TH-SWS.html
153RD-SWS, Orland Park 153rd, , 41.6094444, -87.8733333, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.153RD-SWS.html
143RD-SWS, Orland Park 143rd, , 41.6305556, -87.8591667, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.143RD-SWS.html
PALOSPARK, Palos Park, , 41.6688889, -87.8202778, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/sws/station.PALOSPARK.html
